Sharpe Ratio,Appraisal Ratio,Alpha T-stat,Skewness,factor,model
-0.040650962055433636,-0.007744761212673837,-0.25647142636365844,-14.624501779373674,market_return,simple
0.1521272982497608,0.07074399596289803,2.342720847426266,-6.192932153586937,market_return,complex
-0.11412674982016267,-0.03308113161852145,-1.0988219165812045,0.27477859140680644,HML,simple
0.24421729704395984,0.04508968360308369,1.4976976339902794,4.0892238929139255,HML,complex
0.05944449635349674,0.019702445077204138,0.5737329217425965,-9.998049596653905,accurals,simple
0.5139185504954511,0.05992086646209011,1.7448887005612903,0.8977603881266976,accurals,complex
0.09427062158544046,0.0674102231324657,2.209709494290831,0.3696125932077138,short_term_reversal,simple
0.27949741898032293,0.011211859666569214,0.3675251557199263,-3.714585750224771,short_term_reversal,complex
0.006718093405518713,-0.00781767425926759,-0.2602533271410439,-4.366935882717298,value,simple
0.12071843064537507,0.05215177824959568,1.7361523844114204,-0.06526719386645674,value,complex
-0.02046640401853156,-0.010109279931906056,-0.33622628601846155,7.807050348211844,size,simple
0.22390243893312856,0.0248512952767863,0.8265335187020162,13.225651984120132,size,complex
0.020312072641348492,-0.02958011757046199,-0.9819152050444866,-11.303991758227944,seasonality,simple
0.04266520830072718,0.015204691062545628,0.5047213658550851,1.4792684045236808,seasonality,complex
-0.035960179974099775,0.05073534761992965,1.3881409023495257,-9.302451610047454,debt_issuance,simple
0.6819583970741973,-0.014908633059427677,-0.40790660395086087,4.057582033201733,debt_issuance,complex
-0.09019411138927855,-0.03748898537767268,-1.2475423584693612,-5.325921220534319,profitability,simple
0.03635834655519796,0.008022855559020794,0.2669811424590007,-8.677977577636218,profitability,complex
0.03343247819409928,-0.04126008736261209,-1.3378107562297559,12.17566690079649,investment,simple
0.19596693386339772,-0.017336375709440084,-0.5621119920154465,9.393809379335337,investment,complex
0.008770898333140582,0.0022352398858507235,0.07444561766695863,9.100861628534965,quality,simple
-0.03124069209399246,-0.034280139147262086,-1.1417146538416982,-10.048935357968613,quality,complex
-0.004924421549334982,0.005571595094985503,0.18581735763545218,0.16918977567930274,low_leverage,simple
0.07425911079883443,0.014141925598964046,0.4716450499142911,-0.1306296531634437,low_leverage,complex
-0.012202912034874233,-0.006418689919786093,-0.21411139835389162,-2.29157199340171,low_risk,simple
0.05488341595186015,0.015484259042159398,0.5165160488234214,-0.38841652740106747,low_risk,complex
-0.09343591733330975,-0.033683978504577994,-1.1205172966931913,-0.3440139599831495,momentum,simple
0.05731104362648062,-0.020682067415648736,-0.6880011002102792,-6.907307524774063,momentum,complex
-0.1329723390577659,-0.023618211426466678,-0.7826580629883377,-5.217711677487829,profit_growth,simple
-0.024310809644552817,-0.10552143729977984,-3.4967594382800495,-22.57964283943697,profit_growth,complex
